,0,1
0,Aadha_Main_Aadhi_Vo__The_Soul_Of_Bholaa___From__Bholaa___resampled.mp3,"[0.7312804, 0.75028235, 0.59296894, 0.56372404, 0.6023847, 0.5105458, 0.55222034, 0.47355083, 0.5070434, 0.4278529, 0.41107374, 0.5692804, 0.5469823, 0.49510714, 0.46297947, 0.43309903, 0.40153837, 0.59646726, 0.5138959, 0.50982004, 0.13551202, 0.14734726, 0.24928062, 0.5163769, 0.2537593, 0.32003832, 0.26887658, 0.30367956, 0.29706398, 0.20849729, 0.37561607, 0.20559002, 0.27906153754497587, 0.3713499471243917, 0.39409657621871846, 0.3812282513024069, 0.4329804313743332, 0.8193888765796606, 0.4353568092761111, 0.46091480774770477, 0.5062462400854844, 0.5836640579712105, 0.5070418136674535, 0.5829270690386439, 0.49504710518311057, 0.37734325314877687, 0.2544224541912848, 8050.489335006274, 129.19921875]"
1,Aahista_Aahista_resampled.mp3,"[0.7632306, 0.71336824, 0.4723644, 0.49283373, 0.4352603, 0.45719728, 0.5777823, 0.49297053, 0.5328679, 0.5648023, 0.44989577, 0.5432794, 0.49084783, 0.45203128, 0.4018654, 0.44596884, 0.51112646, 0.41922224, 0.44568563, 0.47917914, 0.43889934, 0.33994737, 0.44938898, 0.36577284, 0.49877724, 0.3812667, 0.29243153, 0.35538542, 0.36834085, 0.48510885, 0.38682103, 0.41680616, 0.24744594736991996, 0.3364221386143664, 0.3531850460003536, 0.3842522646344322, 0.343617467290388, 0.8477096997132846, 0.3597184543290591, 0.29109054488975855, 0.5404135502851932, 0.5342499571586086, 0.58166889871037, 0.5656833494383118, 0.32716180737448536, 0.34333799844293894, 0.1939776746911365, 7435.652949245542, 129.19921875]"
2,Aahun_Aahun_resampled.mp3,"[0.7464434, 0.69444716, 0.45857662, 0.5250016, 0.47549856, 0.46784672, 0.57680917, 0.51836246, 0.53935355, 0.48279777, 0.5195722, 0.5440577, 0.5386782, 0.5349162, 0.59084505, 0.42310473, 0.5223256, 0.48178202, 0.496235, 0.6004039, 0.41717643, 0.5058826, 0.48387504, 0.47704813, 0.41818604, 0.35323635, 0.38460603, 0.42371598, 0.53389764, 0.44804823, 0.4030057, 0.3823918, 0.21885421080429837, 0.2671625423314298, 0.29380635856689197, 0.2891363217492223, 0.3438451933918903, 0.8392862690021707, 0.2719803688927811, 0.5678365965062582, 0.660937023242061, 0.6241688083407577, 0.5062608671135671, 0.3265838111275676, 0.508991271311252, 0.4028231291939312, 0.2610530102129675, 6043.516447368421, 129.19921875]"
3,Aashiyan_resampled.mp3,"[0.6888316, 0.64628255, 0.5009483, 0.57089293, 0.5304499, 0.41203916, 0.45215577, 0.45550376, 0.4796561, 0.46661684, 0.4667072, 0.462638, 0.45114607, 0.4503842, 0.48805752, 0.47187218, 0.48013255, 0.45599782, 0.49436814, 0.53333044, 0.3342829, 0.3012637, 0.43761832, 0.36951604, 0.35911253, 0.4803763, 0.3410994, 0.37102407, 0.26861995, 0.34113857, 0.37745133, 0.28143427, 0.22451429921371058, 0.3269671696133593, 0.34976392107662807, 0.31752462217458605, 0.34896210619949053, 0.8057400660785834, 0.7264537489944557, 0.50542200731552, 0.5790785057058431, 0.39514895047663684, 0.5120663552638207, 0.4339067359714979, 0.44865037698638577, 0.30865758888288497, 0.21267851216238837, 4991.998027613412, 129.19921875]"
4,Abhi_Kuch_Dino_Se_resampled.mp3,"[0.74985075, 0.7007565, 0.44106868, 0.49771214, 0.4705505, 0.505854, 0.56370246, 0.44610965, 0.48005518, 0.5597895, 0.502478, 0.50574195, 0.5325904, 0.5337585, 0.52028733, 0.40387994, 0.5784788, 0.47965708, 0.4973686, 0.51655376, 0.27529722, 0.29798773, 0.25070935, 0.39697143, 0.40161672, 0.29267955, 0.35891676, 0.29534933, 0.42325354, 0.28337246, 0.30166498, 0.45226228, 0.2992512820618868, 0.3470322917777385, 0.34177598704848483, 0.3642136740136308, 0.34496812488966017, 0.845320596529623, 0.358470567552542, 0.44129626484881895, 0.4801315325606187, 0.544290788549697, 0.48980728980633165, 0.5350686874070989, 0.38265633545295424, 0.430245179987563, 0.2661921744203616, 6065.570765661253, 92.28515625]"
5,Abhi_Mujh_Mein_Kahin_resampled.mp3,"[0.64819396, 0.6658784, 0.5583296, 0.4862199, 0.5188401, 0.5368798, 0.49018657, 0.50048727, 0.5124901, 0.49452242, 0.4498304, 0.49538067, 0.49660134, 0.40733144, 0.4125754, 0.44748473, 0.46579334, 0.51372033, 0.4427878, 0.47084478, 0.18804261, 0.36344704, 0.40334412, 0.2023253, 0.2583478, 0.22155808, 0.40923142, 0.2743084, 0.2624268, 0.3585313, 0.21636915, 0.24385266, 0.3851541926387237, 0.35755539231169026, 0.3685876672300929, 0.4050037408471668, 0.38632966960565257, 0.8246666382610056, 0.6320687225014937, 0.550337186476723, 0.4568352564495508, 0.5048142226232757, 0.43003988473305615, 0.4653176692944535, 0.4268459743025574, 0.2296395147126244, 0.23844588847126028, 7621.138743455497, 129.19921875]"
6,Abhi_Toh_Party_Shuru_Hui_Hai_resampled.mp3,"[0.76062286, 0.61978865, 0.5395727, 0.6813347, 0.4348448, 0.4539234, 0.6288784, 0.48283002, 0.4921335, 0.5868058, 0.4677107, 0.4722212, 0.5317554, 0.5271597, 0.47628835, 0.4357089, 0.5368891, 0.54500175, 0.5045539, 0.44566137, 0.3973224, 0.39404604, 0.36421832, 0.45471737, 0.39002043, 0.49071735, 0.49807784, 0.4464459, 0.4713172, 0.4598594, 0.5125565, 0.37597573, 0.2951380007693581, 0.3547159468181736, 0.3392431774688159, 0.3816713016446009, 0.34957999336041906, 0.8313108661805476, 0.3811303510102509, 0.600426326974191, 0.5401425735426925, 0.5038883369494493, 0.5493536492054648, 0.5182289236591024, 0.42877865836110485, 0.4914334871995675, 0.32161950823834595, 3826.1554404145077, 64.599609375]"
7,Agar_Tum_Saath_Ho__From__Tamasha___resampled.mp3,"[0.7098651, 0.7448518, 0.48656613, 0.6206213, 0.48876193, 0.47430843, 0.5263614, 0.47909006, 0.50378186, 0.43652973, 0.49202535, 0.49225736, 0.4869709, 0.43965444, 0.5091394, 0.50975883, 0.4178082, 0.5053603, 0.47590822, 0.4319866, 0.26120356, 0.1975056, 0.33193776, 0.4261699, 0.26128733, 0.34286797, 0.25314608, 0.39077538, 0.35277975, 0.26896203, 0.33604467, 0.22214358, 0.3137631170068556, 0.35949952430026316, 0.42027999294604806, 0.4078006691817667, 0.4406470452270659, 0.8328041221918837, 0.4248085207417215, 0.46582614037962095, 0.39256515060611236, 0.5821906932956683, 0.492737337175016, 0.5570192988677167, 0.4336394497856228, 0.35094766182207343, 0.19516744501447744, 6847.617511520737, 123.046875]"
8,Ajj_Din_Chadheya_resampled.mp3,"[0.74062526, 0.73492163, 0.37853688, 0.5388098, 0.5365196, 0.4895503, 0.49421978, 0.50504833, 0.40934458, 0.4653732, 0.5361291, 0.53025866, 0.48429912, 0.58735085, 0.45416528, 0.469678, 0.5832786, 0.47470936, 0.418128, 0.5313976, 0.237326, 0.32400662, 0.23506981, 0.23735067, 0.40138292, 0.23682652, 0.2847865, 0.22612552, 0.3740043, 0.48228326, 0.29395607, 0.32810384, 0.21435407141462642, 0.35864603027738823, 0.29268720353211075, 0.37522449075112474, 0.4206251827314941, 0.8458994318205982, 0.4424767902997157, 0.4415757896844756, 0.4840597905426828, 0.5445493906935382, 0.5058180703957061, 0.5600848528540444, 0.3970909478688305, 0.4323760613522184, 0.2839066191261678, 6466.832946635731, 86.1328125]"
9,Ali_Maula_resampled.mp3,"[0.6300913, 0.65139127, 0.5920749, 0.4808139, 0.48876423, 0.58709896, 0.42266044, 0.539801, 0.50479835, 0.48080727, 0.54535884, 0.48711935, 0.44874805, 0.49371594, 0.45146915, 0.48063725, 0.51532257, 0.5838606, 0.4921829, 0.49155265, 0.2349818, 0.27898073, 0.4187145, 0.33662382, 0.36325404, 0.28409094, 0.3276282, 0.27743983, 0.21594813, 0.45357093, 0.34803757, 0.20411333, 0.3199604489953088, 0.36194213126724223, 0.36490043983720843, 0.36833324480123836, 0.312441133183123, 0.7918743732321625, 0.5597621709220746, 0.5738068047193128, 0.5950142904288035, 0.44744577437974997, 0.49811426446806206, 0.5591853739867495, 0.4194396249044159, 0.2140949145612361, 0.20041870575326232, 7699.722, 86.1328125]"
