,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,Aadha_Main_Aadhi_Vo__The_Soul_Of_Bholaa___From__Bholaa___resampled.mp3,69,3.5216006306048894e-05,1.06331409639107e-05,1.5293971924337135e-05,7.770368174204974e-06,8.01221773882668e-06,7.416466767653427e-06,1.783726879414016e-06,4.235431507336513e-06,3.747209802636456e-06,2.0343103648912346e-06,7.689950394788386e-07,9.828315272560473e-07,4.3624058304015645e-07,2.022298170957191e-07,2.740344488544543e-07,4.082813629008309e-07,1.6905166877313677e-07,5.850890293700465e-07,2.123869218198426e-07,1.2915182420567168e-07,4.385580228897754e-07,1.035631498235743e-07,8.956352363968813e-08,9.876225476372167e-08,7.515726912033429e-08,6.299587745863149e-08,4.638645112442716e-08,1.3461370774029114e-07,4.3657775337600185e-08,3.706986826525293e-08,3.130331226929441e-08,1.0035151544360079e-10,7.81812714865949e-17,3.815648745105455e-18,7.612422512148417e-19,2.802099919866102e-19,1.566146842739818e-19,1.1669662717879945e-19,9.929814846906405e-20,9.209183408918585e-20,9.238147368106259e-20,8.728765918629951e-20,8.149988901832094e-20,8.208717126300578e-20,8.068568998323943e-20,8.081614955907966e-20,8.028869175619444e-20,7.951730144993266e-20,9.532594237101625e-20,7.758338917065468e-20,9.246376505380278e-20,8.515545743220657e-20,8.118247548354695e-20,8.4747860908585e-20,7.708944386955006e-20,8.08522655816378e-20,8.534283292501733e-20,8.688719442380051e-20,9.653627062729185e-20,1.2535865143696667e-19,1.67180711552202e-19,9.606546437993372e-20,1.2923047506721725e-19,2.199965832478934e-19,1.379874409087428e-19,2.488377705528831e-19,2.8779749395268435e-19,2.0770974481117319e-19,2.673762705459415e-19
1,Aahista_Aahista_resampled.mp3,69,0.000367802774923037,7.57909045336037e-05,2.4840097952780137e-05,2.3351378242827796e-05,1.5203198661156578e-05,2.733540320758295e-06,7.293344711324415e-06,3.0894027310318386e-06,3.887672218941071e-06,2.6046749758724564e-06,1.134917027630103e-06,6.711792620875041e-07,8.596658215609285e-07,5.429916563419129e-07,5.737250515358857e-07,4.370258409313138e-07,5.885143242025517e-07,3.4311241757564585e-07,3.754227286429099e-07,4.0321200794231563e-07,2.780258332761428e-07,4.5650011384253613e-07,2.8843533355105684e-07,2.3836583530107356e-07,3.7973187848426055e-07,3.286129769086629e-07,3.284203610839459e-07,2.818584968801422e-07,2.366898845064672e-07,2.6264463048859173e-07,1.4681461260927313e-07,8.960316083828856e-10,2.670470009226373e-16,1.57741547178117e-17,3.4104275413607165e-18,1.3077844978199258e-18,7.427748341520383e-19,5.569337726668269e-19,4.870389610433588e-19,4.477946239985971e-19,4.2905727080238867e-19,4.1139714646043933e-19,4.1338351196001486e-19,3.988645888561096e-19,3.9902417347511376e-19,3.8767569695430323e-19,3.9640055780523543e-19,3.827270721562908e-19,3.848350876031656e-19,3.7843354520227834e-19,3.834473736565303e-19,3.8216039117035093e-19,3.8233384541353053e-19,3.8956830859349637e-19,3.860566524583969e-19,3.889386380906592e-19,3.857567877040446e-19,3.9337534697097764e-19,4.325938736432204e-19,4.037341524466425e-19,4.29918004145658e-19,4.251984888176575e-19,4.894041943236559e-19,5.045013490535628e-19,8.205765531845337e-19,5.617218466139266e-19,1.38720631923206e-18,3.668488713748903e-18,3.2240157798300078e-18
2,Aahun_Aahun_resampled.mp3,69,0.0002592975976705638,4.174401460811831e-05,1.3152952058378922e-05,2.631823672516231e-05,1.5726560878051124e-05,1.2130140083515633e-05,6.056362150751306e-06,7.775689081578608e-06,4.903750558822937e-06,3.209583827075958e-06,4.395334761655883e-06,2.315950245793329e-06,2.2045626726849127e-06,2.6729964504869547e-06,1.2886939065713302e-06,1.2350344280881856e-06,1.1623324480198985e-06,1.371490839419656e-06,1.3408089692125343e-06,8.372289346763382e-07,1.6034307906809241e-06,1.061305617002295e-06,1.440133146021926e-06,1.4758571070807234e-06,1.0478906754464098e-06,5.846127200158837e-07,2.52568482798977e-07,1.9368011886175925e-07,2.378058962543975e-07,1.8781961596916991e-07,1.2560535762150488e-07,6.503813481177452e-10,2.6367979998806046e-16,1.405396783020218e-17,2.9782073761880913e-18,1.1361833449387875e-18,6.437295273370241e-19,4.790795295672575e-19,4.0924832117391827e-19,3.79714369194426e-19,3.512879959124557e-19,3.3710593255206537e-19,3.4675777468094417e-19,3.495419444800853e-19,3.758841727452256e-19,3.659059005768674e-19,3.581213674886688e-19,3.545179569277958e-19,3.394919083148321e-19,3.335028751399037e-19,3.405638333602553e-19,3.3854448240629924e-19,3.3089332528348476e-19,3.2885595546270363e-19,3.5823997018861424e-19,3.449920577469681e-19,3.2714166232813067e-19,3.7682328856420804e-19,3.5993501445716334e-19,3.746970620861688e-19,4.440547325818592e-19,3.8932419373839197e-19,4.349828207438869e-19,4.3354518099393795e-19,7.758017620347524e-19,3.8559525000279236e-19,7.460759789150641e-19,1.9294615218628054e-18,1.5944767207471572e-18
3,Aashiyan_resampled.mp3,69,0.0001390908995696667,3.409199120694253e-05,3.383180996385191e-05,2.1310221258555895e-05,1.1733063784716887e-05,7.489845754847086e-06,3.233893094326447e-06,4.634768667194485e-06,4.961188579409985e-06,2.3392739573119792e-06,1.8010130290308861e-06,2.7261110373713136e-06,1.1007495732012619e-06,1.3226494347445521e-06,1.3123709688652548e-06,6.601171429174837e-07,7.74494078683816e-07,1.117376010628751e-06,5.625425253125059e-07,6.978892675919502e-07,3.99840534893774e-07,4.7528886641616257e-07,3.130085765103932e-07,3.2201533420763873e-07,3.1662647729086786e-07,3.0532582931328885e-07,3.8978660676314516e-07,2.3200149022832437e-07,2.7572414878925354e-07,2.531580508941497e-07,1.6473774169123936e-07,6.925313076038951e-10,3.0430333917990185e-16,1.694668351713508e-17,3.371127060067586e-18,1.152910039173257e-18,5.747885333816035e-19,3.903189326144313e-19,3.147458650287953e-19,2.81032712990278e-19,2.5770165458788504e-19,2.4254528869663664e-19,2.511270843785724e-19,2.3433548631189606e-19,2.3017001867464075e-19,2.251453941820006e-19,2.332374385471573e-19,2.1999032500163704e-19,2.356440284131435e-19,2.1930844670075454e-19,2.3796375561470457e-19,2.3251470555059503e-19,2.230441432255701e-19,2.494008329097544e-19,2.229772037363202e-19,2.366853371947369e-19,2.2941901692392876e-19,2.577286228681386e-19,2.489645439916043e-19,2.562987290160362e-19,2.5984302348203013e-19,2.51530981833042e-19,3.283175903104836e-19,3.7098499143716553e-19,4.862505549300136e-19,5.779614916252598e-19,8.398714431216447e-19,2.0928515403740714e-18,1.629067587566798e-18
4,Abhi_Kuch_Dino_Se_resampled.mp3,69,6.395677431005009e-05,6.414362483768776e-05,2.80707044367791e-05,4.662621930924094e-05,1.653840599277177e-05,1.4380044649476753e-05,9.781720713861253e-06,4.258141773766353e-06,3.583180685343766e-06,4.354939917216532e-06,4.899923847146074e-06,1.9774133997516006e-06,2.175931396606858e-06,1.5040082709767851e-06,7.612329381678213e-07,1.738766238753051e-06,1.1390660771404208e-06,4.5396841193097274e-07,1.0133594521023192e-06,5.345695636778253e-07,1.0382312967951931e-06,8.802577091465175e-07,1.215819035751528e-06,1.0680381982947997e-06,1.3560685713035712e-06,1.0344914414352595e-06,5.60651056271135e-07,4.2537833473214066e-07,3.50290880597133e-07,3.9291494330636136e-07,3.3364615759340376e-07,8.551000758363217e-10,6.874994519178269e-16,3.704810018938583e-17,6.937865606263104e-18,2.170939243347688e-18,9.573041893820899e-19,5.73281587518506e-19,4.237240996479166e-19,3.420844659427913e-19,2.998958146227528e-19,2.8041094877094486e-19,2.944221087504062e-19,2.793798024887542e-19,2.825795700848152e-19,2.6751533984369753e-19,2.60127933850903e-19,2.458629079454784e-19,2.331146203500658e-19,2.206118076122326e-19,2.2190960976706277e-19,2.326696206028642e-19,2.3572547980560624e-19,2.282931114299494e-19,2.472099314592911e-19,2.2900322729764322e-19,2.429765432542954e-19,2.781004221209382e-19,2.819811715620423e-19,2.951203416412142e-19,3.1947625598782617e-19,3.080242819411348e-19,3.946955414166007e-19,2.970291071315676e-19,8.114117098562178e-19,4.573644033296525e-19,1.0572522504181906e-18,1.2765204978520701e-18,1.025380219939471e-18
5,Abhi_Mujh_Mein_Kahin_resampled.mp3,69,3.2208412030537145e-05,2.0930209909552022e-05,1.3088360935247894e-05,1.722765085770484e-05,1.2830823011748613e-05,4.791557690789595e-06,4.390102747271664e-06,3.6229016426119274e-06,3.6904650052949725e-06,6.724465149952036e-06,2.9972312291435255e-06,9.73429643840095e-07,1.4341792061694787e-06,1.0555123129910771e-06,6.521162414393925e-07,3.7876080453444734e-07,8.295723940684037e-07,4.0699955641428605e-07,7.746629634708069e-07,2.200729145174253e-07,2.0263595766332984e-07,1.339938232181544e-07,1.337207091885411e-07,1.0066543452431766e-07,9.884144664169757e-08,6.435894762180643e-08,4.3773721762673626e-08,7.518523613478914e-08,5.5243200102911034e-08,6.34940014384634e-08,3.8667068992543665e-08,7.248295451136033e-11,6.783822490825271e-17,4.101045587695739e-18,8.789438047206017e-19,3.3694559761739983e-19,1.9257417045354088e-19,1.4593747276982155e-19,1.2583394647275118e-19,1.1756125668822304e-19,1.1182057342305305e-19,1.069320878820207e-19,1.0492083497215624e-19,1.0375744508756387e-19,1.05640615692925e-19,1.0395668030929292e-19,1.0399979957699837e-19,1.0079540631897537e-19,1.0457503600729041e-19,1.0772552272936098e-19,1.1487242488606938e-19,1.1179639463292176e-19,1.0883818866582295e-19,1.1304953715080007e-19,1.2290550161596023e-19,1.1417887113287666e-19,1.1084178028321327e-19,1.2450040462398907e-19,1.6408259176775994e-19,2.288447429587621e-19,1.4735259089453438e-19,1.712994144379943e-19,1.9449860658247976e-19,1.8193366503718174e-19,4.921094056759535e-19,2.6353793280565357e-19,3.7860274286688195e-19,7.073109631786739e-19,5.57929521398377e-19
6,Abhi_Toh_Party_Shuru_Hui_Hai_resampled.mp3,69,0.00019178472517372138,2.6180583505446672e-05,1.6014271840036656e-05,1.0944437965819727e-05,1.778106039128313e-05,7.323336199043919e-06,7.638207034371907e-06,5.003092788499226e-06,6.67893316400089e-06,1.0549777945500594e-05,1.1348777977445776e-05,1.0624040515639258e-05,6.821622610839677e-06,7.238364919748636e-06,2.884877446368171e-06,3.657055812735652e-06,1.944264252653395e-06,2.156927101176337e-06,1.6145570422263795e-06,2.285995163792812e-06,1.8038562261872682e-06,1.1439071221203803e-06,9.347084351547659e-07,1.108763588981782e-06,6.789532914767451e-07,1.6204190155196948e-06,8.697844165634652e-07,1.0716057083097208e-06,8.250256716138491e-07,5.466825492298262e-07,3.2070533003286177e-07,1.2800556771276203e-09,6.597499358071019e-16,3.793959057213775e-17,7.636308477283392e-18,2.5414931102302405e-18,1.1746666662488437e-18,7.219299478582283e-19,5.513516641210516e-19,4.594298253145702e-19,4.542212665530555e-19,3.78975100999727e-19,3.62856076062313e-19,3.4173996553486855e-19,3.3170549065997335e-19,3.199174298675681e-19,3.3417117477357195e-19,3.3406522797510655e-19,3.7612954810139667e-19,3.1321393054556026e-19,3.3694605797865105e-19,3.2789559126148877e-19,3.4681470535401665e-19,3.6188449751527143e-19,3.814456783716841e-19,4.382142823970215e-19,3.785682136808987e-19,4.499273849888638e-19,4.508587683357544e-19,3.9650842069306043e-19,3.7130011251387275e-19,3.84824013848647e-19,3.457695591164261e-19,4.137710375032528e-19,4.517356703679622e-19,3.8422814551747634e-19,6.652496437923727e-19,1.2386382265682828e-18,1.0917862923864523e-18
7,Agar_Tum_Saath_Ho__From__Tamasha___resampled.mp3,69,0.00015691631547315427,3.456074626559873e-05,3.5389407878497954e-05,1.5493835696399216e-05,1.5486868286749524e-05,9.36684789401599e-06,4.922676904995058e-06,7.5438654131721405e-06,2.4958560903568654e-06,2.493134317825234e-06,1.855927925561695e-06,1.3136378774331266e-06,9.699488713867588e-07,7.240578860075976e-07,5.890666160815452e-07,8.195978870026344e-07,3.633755131385421e-07,4.465124459435866e-07,2.373140427656233e-07,3.736270426938059e-07,1.695826507806603e-07,2.3065721408857752e-07,1.3085511371801459e-07,2.5623828881254876e-07,9.822013574394385e-08,1.7124102674481492e-07,1.6025057400316924e-07,8.046233557902086e-08,1.5981038855327094e-07,2.0793303578585979e-07,6.043908482783546e-08,4.976586683595377e-10,1.8517645534561547e-16,8.791280808463942e-18,1.8726096343203512e-18,7.284882770273808e-19,4.195565500544132e-19,3.2222732480782437e-19,2.75368192811987e-19,2.748860233720204e-19,2.438412704213302e-19,2.3557084173161e-19,2.3821233788537943e-19,2.2746112586663304e-19,2.266705315341028e-19,2.276360955994302e-19,2.284292498973972e-19,2.2284173900827693e-19,2.3186908654076674e-19,2.2207337969390386e-19,2.287616195246881e-19,2.267180473077545e-19,2.3469563231064057e-19,2.3625925607035376e-19,2.25154799053385e-19,2.340794624059755e-19,2.308046398733183e-19,2.46172096025443e-19,2.7495089008291933e-19,2.4265552639413315e-19,3.4112992812895455e-19,2.7487932827474503e-19,2.880849214737408e-19,5.308425928552239e-19,3.5218457674639545e-19,4.845968570471713e-19,7.792936563905882e-19,1.3813111063675702e-18,1.1263308046799783e-18
8,Ajj_Din_Chadheya_resampled.mp3,69,5.1782738615877174e-05,5.279126237250158e-05,1.5548706226362574e-05,2.0178418983418858e-05,1.5730044759494336e-05,1.117514686513949e-05,5.778178377759173e-06,2.756737352450959e-06,5.532721155559297e-06,6.176065131118041e-06,5.205686868389227e-06,1.6124675459441386e-06,1.7059155403504498e-06,7.662011788055199e-07,4.495958439807672e-07,3.13012402371385e-07,5.682335318386487e-07,3.026936315277779e-07,5.575314646720479e-07,6.059539228826726e-07,7.587210468769943e-07,4.521190046913201e-07,6.752213866493235e-07,7.044993111286749e-07,8.121840170928431e-07,3.317368970256335e-07,1.4127023988361507e-07,1.8065709292119456e-07,8.566517685997369e-08,5.6948960593823006e-08,3.909485025616583e-08,2.3031627766711494e-10,8.11956536981629e-17,4.6199604844397126e-18,1.0899151663546297e-18,4.673902464863586e-19,2.912043695672703e-19,2.2647588818849246e-19,1.9951972279784633e-19,1.8362529342155125e-19,1.756387146870863e-19,1.7388312042995036e-19,1.7615216220124316e-19,1.876305672158808e-19,1.9627838877140025e-19,1.8056829543004157e-19,1.7597357916960754e-19,1.714869589002473e-19,1.710597014113835e-19,1.6560374796250186e-19,1.634002905578714e-19,1.6169057230686487e-19,1.5957830356635906e-19,1.5937686937653572e-19,1.643826836135545e-19,1.69067101241757e-19,1.7035570020245546e-19,2.4241976657255465e-19,1.8892980777211424e-19,2.9298561001393503e-19,2.4402359667942115e-19,2.2633394333491103e-19,3.221752676186097e-19,2.5941601010971706e-19,6.424672219487149e-19,3.044907930304189e-19,1.0412453015105954e-18,1.05287606568557e-18,8.382291361233781e-19
9,Ali_Maula_resampled.mp3,69,2.6342664797019568e-05,6.416012119767647e-06,9.318940449556204e-06,4.175665454543855e-06,6.8239714185731555e-06,1.84739924286746e-06,6.721380016847003e-07,9.689074516948065e-07,2.370141460935996e-06,7.360201884078292e-07,4.5473211635870495e-07,1.633635725954562e-07,4.090632896278533e-07,1.2938888621027575e-07,1.1722269586720745e-07,5.1841229150403436e-08,1.284989345194845e-07,1.2787975953179246e-07,9.958160912098947e-08,6.8073202945178e-08,8.100522561789199e-08,7.227811632343501e-08,8.732221430265525e-08,8.465149020049976e-08,9.617293037888875e-08,5.2893291785911426e-08,4.157815857903451e-08,3.5876573782513274e-08,3.34133368272883e-08,3.348308828482176e-08,2.2512347816047474e-08,6.92848145684166e-11,4.421563094516716e-17,2.448516988803711e-18,5.029531744281951e-19,1.8364846611955954e-19,1.003870864750134e-19,7.350925371089166e-20,6.347330124674021e-20,5.750970541076708e-20,5.406117422212116e-20,5.1838456518810015e-20,5.25450091418976e-20,5.1783849494009144e-20,5.261022823605639e-20,5.0661643571588376e-20,5.0375729836645273e-20,4.7737424298139374e-20,5.095570343710705e-20,4.868958287572166e-20,5.000516576229332e-20,4.8042229022925485e-20,4.702053598225297e-20,4.8793643591553004e-20,4.699657271847417e-20,5.075347746944969e-20,4.864299191305749e-20,5.146642791621023e-20,5.425278761158215e-20,6.283878806096698e-20,7.226697680898198e-20,5.636671432214346e-20,8.348717785472786e-20,1.3199371503927443e-19,1.6520871375377295e-19,2.141540007053257e-19,1.3173240171710618e-19,3.916680899568513e-19,3.160649018954802e-19
